Station,DIRN,Station-DIRN,Type,Signal Name,Latitude,Longitude,SignalLabel,SectionId
UBL,UP,UBL-UP,Starter,STR,15.3513,75.14822,UBL-UP-STR,60
UNK,UP,UNK-UP,Distant,DS,15.36082,75.1392917,UNK-UP-DS,60
UNK,UP,UNK-UP,Home,HS,15.36646,75.13039,UNK-UP-HS,60
UNK,UP,UNK-UP,Starter,STR,15.37932,75.122675,UNK-UP-STR,60
UNK,UP,UNK-UP,LSS cum Distant,LSSDS,15.38177,75.1215833,UNK-UP-LSSDS,60
BDKA,UP,BDKA-UP,Home,HS,15.3926,75.1139533,BDKA-UP-HS,60
BDKA,UP,BDKA-UP,Starter,STR,15.40411,75.1052567,BDKA-UP-STR,60
NVU,UP,NVU-UP,Distant,DS,15.41356,75.0797867,NVU-UP-DS,7
NVU,UP,NVU-UP,Home,HS,15.41291,75.0705483,NVU-UP-HS,7
NVU,UP,NVU-UP,Starter,STR,15.41855,75.0517733,NVU-UP-STR,7
DWR,UP,DWR-UP,Distant,DS,15.42715,75.0242367,DWR-UP-DS,7
DWR,UP,DWR-UP,Home,HS,15.4325,75.01353,DWR-UP-HS,7
DWR,UP,DWR-UP,Starter,STR,15.44237,75.0013533,DWR-UP-STR,7
KRKP,UP,KRKP-UP,Home,HS,15.44829,74.9634717,KRKP-UP-HS,7
KRKP,UP,KRKP-UP,Starter,STR,15.45596,74.9545883,KRKP-UP-STR,7
MGD,UP,MGD-UP,Distant,DS,15.46093,74.9152333,MGD-UP-DS,7
MGD,UP,MGD-UP,Home,HS,15.45434,74.9086733,MGD-UP-HS,7
MGD,UP,MGD-UP,Starter,STR,15.4474,74.9028983,MGD-UP-STR,7
KBI,UP,KBI-UP,Distant,DS,15.47458,74.844445,KBI-UP-DS,7
KBI,UP,KBI-UP,Home,HS,15.46702,74.8389683,KBI-UP-HS,7
KBI,UP,KBI-UP,Starter,STR,15.46361,74.828375,KBI-UP-STR,7
IB,UP,IB-UP,IB Distant,IBD,15.44228,74.7902483,KBI-UP-IBD,7
IB,UP,IB-UP,IBS,IBS,15.4383,74.7817267,KBI-UP-IBS,7
LWR,UP,LWR-UP,Distant,DS,15.42559,74.7590583,LWR-UP-DS,7
LWR,UP,LWR-UP,Home,HS,15.42513,74.7497967,LWR-UP-HS,7
LWR,UP,LWR-UP,Starter,STR,15.42477,74.7348867,LWR-UP-STR,7
TVG,UP,TVG-UP,Distant,DS,15.41058,74.68615,TVG-UP-DS,8
TVG,UP,TVG-UP,Home,HS,15.41167,74.676015,TVG-UP-HS,8
TVG,UP,TVG-UP,Starter,STR,15.41339,74.661815,TVG-UP-STR,8
IB,UP,IB-UP,IB Distant,IBD,15.41742,74.6376133,TVG-UP-IBD,8
IB,UP,IB-UP,IBS,IBS,15.42362,74.6274167,TVG-UP-IBS,8
DEV,UP,DEV-UP,Distant,DS,15.43937,74.5953783,DEV-UP-DS,8
DEV,UP,DEV-UP,Home,HS,15.44949,74.586775,DEV-UP-HS,8
DEV,UP,DEV-UP,Starter,STR,15.45125,74.5743333,DEV-UP-STR,8
SVTN,UP,SVTN-UP,Distant,DS,15.46488,74.5379317,SVTN-UP-DS,8
SVTN,UP,SVTN-UP,Home,HS,15.47374,74.5343933,SVTN-UP-HS,8
SVTN,UP,SVTN-UP,Starter,STR,15.47788,74.519425,SVTN-UP-STR,8
LD,UP,LD-UP,Distant,DS,15.467,74.510475,LD-UP-DS,8
LD,UP,LD-UP,Home,HS,15.45681,74.5067033,LD-UP-HS,8
LD,UP,LD-UP,Starter,STR,15.44758,74.49508,LD-UP-STR,8
TGT,DN,TGT-DN,Distant,DS,15.45462,74.426235,TGT-DN-DS,54
TGT,DN,TGT-DN,Home,HS,15.45353,74.4162517,TGT-DN-HS,54
TGT,DN,TGT-DN,Starter,STR,15.44888,74.4012417,TGT-DN-STR,54
KSTD,DN,KSTD-DN,Distant,DS,15.42339,74.3599417,KSTD-DN-DS,54
KSTD,DN,KSTD-DN,Starter,STR,15.41998,74.351145,KSTD-DN-STR,54
CLR,DN,CLR-DN,Distant,DS,15.4179,74.34349,CLR-DN-DS,54
CLR,DN,CLR-DN,Home,HS,15.40995,74.3391217,CLR-DN-HS,54
CLR,DN,CLR-DN,Starter,STR,15.39893,74.3317367,CLR-DN-STR,54
CRZ,DN,CRZ-DN,Warner,WRN,15.37276,74.3078483,CRZ-DN-WRN,54
CRZ,DN,CRZ-DN,Home,HS,15.36425,74.3052767,CRZ-DN-HS,54
CRZ,DN,CRZ-DN,Starter,STR,15.35549,74.3075867,CRZ-DN-STR,54
DDS,DN,DDS-DN,Warner,WRN,15.32904,74.3014583,DDS-DN-WRN,54
DDS,DN,DDS-DN,Home,HS,15.3205,74.3009033,DDS-DN-HS,54
DDS,DN,DDS-DN,Starter,STR,15.31465,74.3076867,DDS-DN-STR,54
LIM,DN,LIM-DN,Warner,WRN,15.30211,74.305725,LIM-DN-WRN,54
LIM,DN,LIM-DN,Home,HS,15.30941,74.3018483,LIM-DN-HS,54
LIM,DN,LIM-DN,Starter,STR,15.31063,74.292995,LIM-DN-STR,54
QLM,DN,QLM-DN,Distant,DS,15.3313,74.2618517,QLM-DN-DS,54
QLM,DN,QLM-DN,Home,HS,15.33674,74.25477,QLM-DN-HS,54
QLM,UP,QLM-UP,Starter,STR,15.33541,74.24533,QLM-UP-STR,55
LIM,UP,LIM-UP,Warner,WRN,15.3174,74.2875683,LIM-UP-WRN,55
LIM,UP,LIM-UP,Repeating Sig,RS,15.31248,74.2889433,LIM-UP-RS,55
LIM,UP,LIM-UP,Home,HS,15.31009,74.2913,LIM-UP-HS,55
