Station,DIRN,Station-DIRN,Type,Signal Name,Latitude,Longitude,SignalLabel,SectionID
WADI,DN,WADI-DN,STR,STR,17.05611,76.99233,WADI-DN-STR,41
WADI,DN,WADI-DN,ISTR,ISTR,17.06002,76.99306,WADI-DN-ISTR,41
WADI,DN,WADI-DN,LSSDS,LSSDS,17.06285,76.99351,WADI-DN-LSSDS,41
GATE,DN,GATE-DN,GS,GS,17.07081,76.99397,GATE-DN-GS,41
SDB,DN,SDB-DN,DS,DS,17.09948,76.95808,SDB-DN-DS,41
SDB,DN,SDB-DN,IDS,IDS,17.10586,76.94832,SDB-DN-IDS,41
SDB,DN,SDB-DN,HS,HS,17.11363,76.94342,SDB-DN-HS,41
SDB,DN,SDB-DN,STR,STR,17.1252,76.944,SDB-DN-STR,41
MR,DN,MR-DN,DS,DS,17.17996,76.92656,MR-DN-DS,41
MR,DN,MR-DN,IDS,IDS,17.18691,76.91872,MR-DN-IDS,41
MR,DN,MR-DN,HS,HS,17.19374,76.90731,MR-DN-HS,41
MR,DN,MR-DN,STR,STR,17.20254,76.90086,MR-DN-STR,41
HQR,DN,HQR-DN,DS,DS,17.23941,76.89285,HQR-DN-DS,41
HQR,DN,HQR-DN,IDS,IDS,17.24749,76.88433,HQR-DN-IDS,41
HQR,DN,HQR-DN,HS,HS,17.25376,76.87741,HQR-DN-HS,41
HQR,DN,HQR-DN,STR,STR,17.25998,76.8707,HQR-DN-STR,41
KLBG,DN,KLBG-DN,DS,DS,17.29996,76.851,KLBG-DN-DS,41
KLBG,DN,KLBG-DN,IDS,IDS,17.30722,76.84389,KLBG-DN-IDS,41
KLBG,DN,KLBG-DN,HS,HS,17.31378,76.8353,KLBG-DN-HS,41
KLBG,DN,KLBG-DN,STR,STR,17.31489,76.8227,KLBG-DN-STR,41
KLBG,DN,KLBG-DN,LSSDS,LSSDS,17.3186,76.81466,KLBG-DN-LSSDS,41
GATE,DN,GATE-DN,IDS,IDS,17.32198,76.80829,GATE-DN-IDS,41
GATE,DN,GATE-DN,GS,GS,17.32642,76.79982,GATE-DN-GS,41
BBD,DN,BBD-DN,DS,DS,17.3289,76.79512,BBD-DN-DS,41
BBD,DN,BBD-DN,IDS,IDS,17.3333,76.78669,BBD-DN-IDS,41
BBD,DN,BBD-DN,HS,HS,17.33734,76.77797,BBD-DN-HS,41
SVG,DN,SVG-DN,DS,DS,17.34406,76.73977,SVG-DN-DS,41
SVG,DN,SVG-DN,IDS,IDS,17.3438,76.73047,SVG-DN-IDS,41
SVG,DN,SVG-DN,HS,HS,17.34165,76.72043,SVG-DN-HS,41
SVG,DN,SVG-DN,STR,STR,17.33929,76.71014,SVG-DN-STR,41
GUR,DN,GUR-DN,DS,DS,17.34726,76.61748,GUR-DN-DS,41
GUR,DN,GUR-DN,IDS,IDS,17.3442,76.60746,GUR-DN-IDS,41
