Route,Path,SectionIds
UBL-SUR,UBL-BMAP-GDG-BGK-HG-SUR,"63,0,12,13,14"
UBL-SNNR,UBL-BMAP-GDG-TLKL-GIN-SNNR,"63,0,1,2,24"
UBL-KHTI,UBL-BMAP-GDG-TLKL-KHTI,"63,0,1,23"
CLR-HPT,CLR-LD-LWR-BDKA-BMAP-GDG-TLKL-GIN-HPT,"55,34,33,61,63,0,1,2,3"
HPT-BJP,HPT-GIN-TLKL-GDG-BGK-BJP,"29,28,27,12,13"
GDG-WADI,GDG-BGK-HG-WADI,"12,13,15"
HPT-DVG,HPT-VC-KTY-AVC-DVG,"16,17"
HPT-SNNR,HPT-GIN-SNNR,"29,24"
BAY-JRU,BAY-RDG-JRU,"20,21"
MRJ-ASK,MRJ-LD-LWR-BDKA-UBL-ASK,"35,34,33,61,11"
MRJ-GTL,MRJ-LD-LWR-BDKA-UBL-BMAP-GDG-TLKL-GIN-HPT-TNGL-BAY-GTL,"35,34,33,61,63,0,1,2,3,4,5,6"
VSG-GTL,VAG-LD-LWR-UBL-GDG-TLKL-GIN-HPT-BAY-GTL,"55,53,34,33,61,63,0,1,2,3,4,5,6"
VSG-MRJ,VSG-LD-MRJ,"55,53,9"
SUR-UBL,SUR-HG-BGK-GDG-UBL,"40,39,38,26,62"
SNNR-UBL,SNNR-GIN-GDG-UBL,"50,28,27,26,62"
KHTI-UBL,KHTI-TLKL-GDG-UBL,"49,27,26,62"
HPT-CLR,HPT-GDG-BMAP-BDKA-LWR-LD-CLR,"29,28,27,26,58,7,8,54"
BJP-HPT,BJP-GDG-HPT,"39,38,1,2,3"
WADI-GDG,WADI-HG-BGK-GDG,"41,39,38"
DVG-HPT,DVG-AVC-VC-HPT,"43,42"
SNNR-HPT,SNNR-GIN-HPT,"50,3"
JRU-BAY,JRU-RDG-BAY,"47,46"
ASK-MRJ,ASK-UBL-LWR-LD-MRJ,"37,60,7,8,9"
GTL-MRJ,GTL-BAY-HPT-GDG-UBL-LWR-LD-MRJ,"32,31,30,29,28,27,26,62,60,7,8,9"
GTL-VSG,GTL-BAY-HPT-GDG-UBL-LWR-LD-VSG,"32,31,30,29,28,27,26,62,7,8,52,54"
MRJ-VSG,MRJ-LD-VSG,"35,52,54"
UBL-GTL,UBL-BMAP-GDG-TLKL-GIN-HPT-TNGL-BAY-GTL,"63,0,1,2,3,4,5,6"
GTL-UBL,GTL-BAY-HPT-GDG-UBL,"32,31,30,29,28,27,26,62"
UBL-WADI,UBL-GDG-BGK-HG-WADI,"63,0,12,13,15"
WADI-UBL,WADI-HG-BGK-GDG-UBL,"41,39,38,26,62"


